PROVIDER_NUMBER,FYB,FYE,STATUS,C000001_20000_00500,C000001_20000_00600,C000001_20000_00700
034025,01-JUL-17,30-JUN-18,Settled,41034746,5361012,39777317
034026,01-JAN-17,31-DEC-17,Settled,21770379,86493535,7009029
034027,01-OCT-16,30-SEP-17,Settled,4327314,4322149,
034028,01-JAN-17,31-DEC-17,Settled,25117717,55293849,3305440
034029,01-JAN-17,31-DEC-17,Settled,20051325,59845295,1511400
034030,01-SEP-17,31-AUG-18,Settled,16421853,48953350,5178000
034031,01-JUN-17,31-MAY-18,Settled,17398641,72850800,1601530
034032,01-JAN-17,31-DEC-17,Settled,16901249,49084000,1948850
034033,22-MAY-17,31-AUG-17,Settled,1535412,949124,
034033,01-SEP-17,31-AUG-18,Settled,4213648,5897200,
040001,01-APR-17,31-MAR-18,Settled,25642817,49440050,132060936
040002,01-JAN-17,31-DEC-17,Settled,32605533,30136291,54120599
040004,01-JAN-17,31-DEC-17,Settled,243680506,789481195,566317633
040007,01-JUL-17,30-JUN-18,Reopened,362229089,980885671,610008997
040010,01-JUL-17,30-JUN-18,Reopened,215827072,439254000,607966860
040011,01-JUL-17,30-JUN-18,Settled,15887216,13157104,28064000
040014,01-OCT-16,30-SEP-17,Settled w/Audit,170849564,278985613,402528760
040015,01-JAN-17,31-DEC-17,Settled,20090540,22208918,43596190
040016,01-JUL-17,30-JUN-18,Settled,701801515,1118079316,1216343616
040017,01-APR-17,31-MAR-18,Settled,70275090,64932169,163851631
040018,01-JAN-17,31-DEC-17,Settled,16225108,37486440,109214946
040019,01-OCT-16,30-SEP-17,Reopened,24677814,62229923,103905781
040020,01-OCT-16,30-SEP-17,Settled,261942116,310929095,385082432
040022,01-NOV-16,31-OCT-17,Settled,202699231,968336872,890893743
040026,01-JUL-17,30-JUN-18,Settled w/Audit,181012537,417769442,443643746
040027,01-JAN-17,31-DEC-17,Settled,162793281,232516550,316788918
040029,01-JAN-17,31-DEC-17,Settled,122406571,159514047,232194964
040036,01-JAN-17,31-DEC-17,Reopened,155475007,378193328,365050221
040039,01-JUL-17,30-JUN-18,Settled,48204167,60008703,90172310
040041,01-SEP-17,31-AUG-18,Settled,70012443,265450726,460887392
040047,01-JAN-17,31-DEC-17,Settled,16674905,12628184,28675726
040050,01-OCT-16,30-SEP-17,Settled,29652690,27101055,66882123
040051,01-APR-17,31-MAR-18,Settled,28062834,23277982,50344100
040055,01-OCT-16,30-SEP-17,Reopened,216104502,776540598,800157579
040062,01-JUL-17,30-JUN-18,Reopened,279853520,490339454,558978944
040067,01-OCT-16,30-SEP-17,Reopened,22520056,13659054,33362202
040069,01-JAN-17,31-DEC-17,Settled,22235398,22713770,55651938
040071,01-JUL-17,30-JUN-18,Reopened,156416045,383045002,364075526
040072,01-JAN-17,31-DEC-17,Settled,27766509,16557241,50223148
040074,01-JUL-17,30-JUN-18,Settled,26069937,33806600,28804183
040076,01-JAN-17,31-DEC-17,Settled,19423786,18946530,29774881
040078,01-SEP-17,31-AUG-18,Settled,82078483,567739667,443613842
040084,01-JUL-17,30-JUN-18,Reopened,82579823,127791606,174565230
040085,01-JAN-17,31-DEC-17,Settled,20938992,60370887,77872412
040088,01-JUL-17,30-JUN-18,Settled,52683904,225179190,226098964
040114,01-JAN-17,31-DEC-17,Reopened,433177868,1239853844,681991790
040118,01-OCT-16,30-SEP-17,Reopened,151925319,373146771,421862933
040119,01-OCT-16,30-SEP-17,Settled w/Audit,161422252,212837760,348721291
040132,01-JAN-17,31-DEC-17,Settled,5904338,6102334,2854339
040134,01-OCT-16,30-SEP-17,Settled,150195441,237806369,349759725
040137,01-JUL-17,30-JUN-18,Settled,23979297,44123611,121585591
040147,01-JAN-17,31-DEC-17,Settled,53973014,130790072,96126367
040152,01-JAN-17,31-DEC-17,Settled,32663078,71373798,79845198
040153,01-OCT-16,30-SEP-17,Settled,10975967,22080254,46179827
040154,20-OCT-16,31-DEC-16,Settled,10201594,7316767,16830929
040154,01-JAN-17,31-DEC-17,Reopened,55645795,62485394,124232646
041300,01-JUL-17,30-JUN-18,Settled,,4002331,12801747
041302,01-JUL-17,30-JUN-18,Settled,12684285,11698355,15226411
041303,01-JUL-17,30-JUN-18,Settled,,4551192,17915026
041304,01-JAN-17,31-DEC-17,Settled,,4018789,8659413
041305,01-JUL-17,30-JUN-18,Settled,,3048204,20002674
041306,01-JAN-17,02-JUL-17,Settled,,1989289,2827441
041306,03-JUL-17,30-JUN-18,Settled,,4566417,7302274
041307,01-OCT-16,30-SEP-17,Settled,,4341332,17851625
041308,01-JUL-17,30-JUN-18,Settled,,2381475,13894116
041309,01-JUL-17,30-JUN-18,Settled,,4559648,13530263
041310,01-OCT-16,30-SEP-17,Settled w/Audit,,10679301,34507399
041311,01-OCT-16,30-SEP-17,Settled,,8946516,41037703
041312,01-JAN-17,31-DEC-17,Settled,,12532418,66819557
041313,01-JUL-17,30-JUN-18,Reopened,27456853,14377449,36655836
041314,01-JAN-17,31-DEC-17,Settled,12036482,5881669,10855667
041316,01-JAN-17,31-DEC-17,Settled,,4769719,22861108
041317,01-JAN-17,31-DEC-17,Settled,,1300862,16275088
041318,01-JUL-17,30-JUN-18,Settled,,5310466,20973757
041319,01-OCT-16,30-SEP-17,Settled,10847365,9997075,14756809
041320,01-JUL-17,30-JUN-18,Settled,,1904844,12869356
041321,01-JAN-17,31-DEC-17,Settled,,18949401,62519665
041322,01-JUL-17,30-JUN-18,Settled,,7879803,14050245
041323,01-OCT-16,30-SEP-17,Settled,30242646,19253127,46184932
041324,01-JUL-17,30-JUN-18,Settled,,8474501,46193686
041326,01-JUL-17,30-JUN-18,Settled,,7639484,20769659
041327,01-OCT-16,30-SEP-17,Settled,20532883,10511826,28582730
041328,01-APR-17,31-MAR-18,Settled,,7615450,21224171
