ZIP,state,name,far1,far2,far3,far4,gridpop,sqmi,density,fr1pop,fr2pop,fr3pop,fr4pop,fr1pct,fr2pct,fr3pct,fr4pct
99833,AK,Petersburg,1,1,1,1,"3,334","3,552",0.9,3333.908891,3333.908891,3333.908891,3333.908891,100,100,100,100
84734,UT,Hanksville,1,1,1,1,569,"3,544",0.2,569.3849011,569.3849011,569.3849011,569.3849011,100,100,100,100
84741,UT,Kanab,1,1,1,0,"5,554","3,452",1.6,5554.011392,5554.011392,5554.011392,999.6683608,99.99554641,99.99554641,99.99554641,17.99823171
99730,AK,Central,1,1,1,1,133,"3,450",0.0,133.1904986,133.1904986,133.1904986,133.1904986,100,100,100,100
79735,TX,Fort Stockton,1,1,1,0,"13,119","3,412",3.8,13112.93755,13112.93755,13112.63663,1763.898224,99.9564453,99.9564453,99.95415142,13.44572836
89412,NV,Gerlach,1,1,1,1,121,"3,361",0.0,120.6939883,120.6939883,120.6939883,120.6939883,100,100,100,100
99714,AK,Salcha,0,0,0,0,"1,408","3,336",0.4,309.6372032,309.6372032,309.6372032,309.6372032,21.98912525,21.98912525,21.98912525,21.98912525
87825,NM,Magdalena,1,1,1,1,"3,291","3,264",1.0,3077.075232,3077.075232,3077.075232,3077.075232,93.51228692,93.51228692,93.51228692,93.51228692
89001,NV,Alamo,1,1,1,1,"1,185","3,259",0.4,1185.421313,1185.421313,1185.421313,1185.421313,99.99910163,99.99910163,99.99910163,99.99910163
86046,AZ,Williams,0,0,0,0,"7,841","3,239",2.4,405.8604864,405.8604864,405.8604864,405.8604864,5.176007797,5.176007797,5.176007797,5.176007797
99773,AK,Shungnak,1,1,1,1,59,"3,234",0.0,58.68580969,58.68580969,58.68580969,58.68580969,100,100,100,100
86432,AZ,Littlefield,0,0,0,0,"4,174","3,227",1.3,48.33620743,48.33620743,48.33266581,48.33266581,1.157893407,1.157893407,1.157808567,1.157808567
99736,AK,Deering,1,1,1,1,116,"3,160",0.0,116.0249358,116.0249358,116.0249358,116.0249358,100,100,100,100
82301,WY,Rawlins,1,1,1,0,"9,671","3,154",3.1,9669.418201,9669.418201,9669.418201,183.2331501,99.98057364,99.98057364,99.98057364,1.894607832
89008,NV,Caliente,1,1,1,1,"1,529","3,148",0.5,1507.614305,1507.614305,1507.614305,1507.614305,98.56942808,98.56942808,98.56942808,98.56942808
82190,WY,Yellowstone National Park,1,1,1,1,372,"3,133",0.1,372.1546043,372.1546043,372.1546043,372.1546043,100,100,100,100
89831,NV,Mountain City,1,1,1,1,"1,176","3,124",0.4,1175.983501,1175.983501,1175.983501,1175.983501,100,100,100,100
83624,ID,Grand View,0,0,0,0,"1,640","3,114",0.5,757.6122196,757.6122196,725.1271363,725.1271363,46.20818731,46.20818731,44.22686127,44.22686127
99727,AK,Buckland,1,1,1,1,416,"3,089",0.1,415.9999991,415.9999991,415.9999991,415.9999991,100,100,100,100
87801,NM,Socorro,0,0,0,0,"11,125","3,076",3.6,186.100956,186.100956,186.100956,186.100956,1.672746436,1.672746436,1.672746436,1.672746436
84540,UT,Thompson,1,1,1,1,258,"3,064",0.1,214.5717193,214.5717193,214.5717193,205.8279588,83.31163501,83.31163501,83.31163501,79.91670026
99558,AK,Anvik,1,1,1,1,254,"3,058",0.1,254.2819059,254.2819059,254.2819059,254.2819059,100,100,100,100
89043,NV,Pioche,1,1,1,1,"2,439","2,976",0.8,2439.422582,2439.422582,2439.422582,2439.422582,100,100,100,100
88030,NM,Deming,0,0,0,0,"25,093","2,965",8.5,3436.067939,3436.067939,2190.435971,2190.435971,13.69347628,13.69347628,8.729362618,8.729362618
99835,AK,Sitka,1,1,1,0,"8,186","2,960",2.8,8185.669534,8185.669534,8185.669534,378.0036321,100,100,100,4.617870665
87821,NM,Datil,1,1,1,1,800,"2,955",0.3,800.3245962,800.3245962,800.3245962,800.3245962,100,100,100,100
99632,AK,Mountain Village,1,1,1,1,"1,000","2,900",0.3,999.8107117,999.8107117,999.8107117,999.8107117,100,100,100,100
99772,AK,Shishmaref,1,1,1,1,515,"2,899",0.2,514.6402866,514.6402866,514.6402866,514.6402866,100,100,100,100
99765,AK,Nulato,1,1,1,1,794,"2,870",0.3,793.8127553,793.8127553,793.8127553,793.8127553,100,100,100,100
00011,AK,Kenai Ntl Wildlife Ref,1,1,1,1,228,"2,813",0.1,228.361427,228.361427,228.361427,228.361427,100,100,100,100
76943,TX,Ozona,1,1,1,0,"3,723","2,808",1.3,3716.245276,3716.245276,3716.245276,346.4285694,99.8262142,99.8262142,99.8262142,9.305804651
92328,CA,Death Valley,1,1,1,1,322,"2,807",0.1,321.9129688,321.9129688,321.9129688,321.9129688,100,100,100,100
00009,AK,Lake Clark National Pres,1,1,1,1,5,"2,770",0.0,5.070804083,5.070804083,5.070804083,5.070804083,100,100,100,100
92309,CA,Baker,1,1,1,1,857,"2,731",0.3,786.057048,785.6415092,785.6415092,785.6415092,91.67645709,91.62799352,91.62799352,91.62799352
99734,AK,Prudhoe Bay,1,1,1,1,"2,329","2,727",0.9,2329.332348,2329.332348,2329.332348,2329.332348,100,100,100,100
79842,TX,Marathon,1,1,1,1,562,"2,696",0.2,562.1337521,562.1337521,562.1337521,561.7987664,100,100,100,99.94040819
82336,WY,Wamsutter,1,1,1,1,520,"2,687",0.2,519.6922993,510.3884968,510.3884968,510.1264611,100,98.20974787,98.20974787,98.15932654
97721,OR,Princeton,1,1,1,1,277,"2,678",0.1,277.3016851,277.3016851,277.3016851,277.3016851,100,100,100,100
89316,NV,Eureka,1,1,1,1,"1,366","2,675",0.5,1366.01103,1366.01103,1366.01103,1366.01103,100,100,100,100
99801,AK,Juneau,1,1,0,0,"28,338","2,667",10.6,28338.17915,28338.17915,2302.978806,2302.978806,100,100,8.126770581,8.126770581
82633,WY,Douglas,0,0,0,0,"9,481","2,657",3.6,768.3090765,768.3090765,768.3090765,768.3090765,8.103302561,8.103302561,8.103302561,8.103302561
97638,OR,Silver Lake,1,1,1,1,"1,982","2,619",0.8,1980.653407,1980.653407,1980.653407,1980.653407,99.93370078,99.93370078,99.93370078,99.93370078
59725,MT,Dillon,1,1,1,0,"8,231","2,613",3.1,8231.238753,8151.841434,8151.841434,1414.164482,100,99.0354147,99.0354147,17.18045758
00135,ME,Northern Piscataquis CNT,1,1,1,0,65,"2,606",0.0,64.56412421,64.56412421,64.56412421,19.70322415,100,100,100,30.51729484
99770,AK,Selawik,1,1,1,1,0,"2,597",0.0,0.081859442,0.081859442,0.081859442,0.081859442,100,100,100,100
89404,NV,Denio,1,1,1,1,164,"2,595",0.1,163.5905415,163.5905415,163.5905415,163.5905415,100,100,100,100
84525,UT,Green River,1,1,1,1,"1,009","2,579",0.4,1008.917069,1008.917069,1008.892597,1008.892597,100,100,99.99757441,99.99757441
82414,WY,Cody,1,1,1,0,"15,063","2,575",5.9,15063.42577,15063.42577,15063.42577,1706.848972,100,100,100,11.33108097
84022,UT,Dugway,1,0,0,0,890,"2,554",0.3,853.4674417,419.3775445,419.3775445,419.3775445,95.9437662,47.14492799,47.14492799,47.14492799
59538,MT,Malta,1,1,1,1,"3,203","2,547",1.3,3203.09185,3203.09185,3203.09185,3203.09185,100,100,100,100
99645,AK,Palmer,0,0,0,0,"25,801","2,545",10.1,2135.000487,1613.589101,1613.589101,1613.589101,8.275030979,6.254096838,6.254096838,6.254096838
89445,NV,Winnemucca,1,1,0,0,"15,809","2,485",6.4,15808.61316,15808.61316,307.5351603,307.5351603,100,100,1.945364576,1.945364576
83604,ID,Bruneau,1,1,1,1,628,"2,483",0.3,399.0912054,399.0912054,329.321766,329.321766,63.56027929,63.56027929,52.44862112,52.44862112
00125,ME,Northwest Aroostook,1,1,1,1,11,"2,473",0.0,10.89133058,10.89133058,10.89133058,10.89133058,100,100,100,100
86505,AZ,Ganado,1,1,1,0,"23,330","2,468",9.5,23330.49377,23330.49377,14945.47796,11446.70627,100,100,64.0598442,49.06328339
