Year,GEOID,Total Population,Labor Force,Unemployed,Median Income
2011,18085,77336,59769,4221,50803
2011,18089,495558,385270,27921,48533
2011,18091,111374,88685,6075,48389
2011,18095,131235,104878,8090,42129
2011,18097,911296,705376,56879,39631
2011,18105,139799,119750,5814,38149
2011,18109,69464,54582,3907,52051
2011,18127,165537,131179,7722,61432
2011,18141,266700,209218,14924,43766
2011,18157,174724,142779,5987,42404
2011,18163,180305,145007,6992,43630
2011,18167,108182,88261,4494,39229
2011,18177,68643,54695,4287,36358
2011,19013,131549,106754,5507,42438
2011,19049,69444,51541,1807,69831
2011,19061,94648,76107,3422,53011
2011,19103,133038,110319,3615,52732
2011,19113,213875,167869,6975,55449
2011,19153,437399,336998,17766,55826
2011,19155,93518,73156,3072,48850
2011,19163,167095,130578,5350,49549
2011,19169,89663,75590,3354,45866
2011,19193,102509,78231,3223,42435
2011,20015,65817,49410,2105,51843
2011,20045,112211,93754,4921,47757
2011,20091,552991,424336,16936,69856
2011,20103,75527,58866,3077,62453
2011,20161,72997,60903,1985,45122
2011,20173,501076,380220,25492,49478
2011,20177,178941,140140,6470,43900
2011,20209,158224,118377,11756,37991
2011,21015,121737,90388,3134,63556
2011,21029,75109,59269,2873,51436
2011,21037,90940,72592,3986,53968
2011,21047,73591,54680,4054,35573
2011,21059,97234,75696,3092,44622
2011,21067,301569,244131,14049,47207
2011,21093,107456,82901,5350,47448
2011,21111,746906,593737,46013,45383
2011,21117,160406,124947,7312,49367
2011,21145,65864,52200,2399,45220
2011,21151,84188,67975,4714,38596
2011,21195,64904,52013,2151,33307
2011,21227,115517,91904,5821,38244
2011,22005,109985,82179,4708,64530
2011,22015,119732,91313,3783,50604
2011,22017,257051,201215,7862,40460
2011,22019,194092,150951,9703,40253
2011,22033,441438,350774,21962,46356
2011,22045,73400,56361,2963,42488
2011,22051,432640,347553,18071,43332
2011,22055,224390,176562,10214,45172
2011,22057,96666,76707,2616,46697
2011,22063,130251,98103,6531,55817
2011,22071,360740,292090,20533,35041
2011,22073,154919,119038,5970,34421
2011,22079,132374,102395,6118,35047
2011,22097,83552,63264,2062,34337
2011,22103,236785,185113,8516,56536
2011,22105,122571,95577,6820,39391
2011,22109,111917,85996,3125,43963
2011,23001,107398,86166,6564,44689
2011,23003,71482,59218,3154,35148
2011,23005,282401,230834,10435,55985
2011,23011,121935,100313,6500,44259
2011,23019,153786,127691,7051,40669
2011,23031,198199,161430,8833,56777
2011,24001,74692,63155,3501,38502
2011,24003,544403,431731,19589,84138
2011,24005,809941,654414,40311,62407
2011,24009,89256,70430,3703,89393
2011,24013,167288,133242,4600,84117
2011,24015,101694,79474,6058,61686
2011,24017,149130,116606,7872,91733
2011,24021,236745,184602,9852,77791
2011,24025,246489,195178,10385,78123
2011,24027,293142,229006,10182,98953
2011,24031,989794,783040,34933,92909
2011,24033,871233,690631,49688,70715
2011,24037,107484,83537,3027,81657
2011,24043,148203,119295,7319,52653
2011,24045,99190,79813,6840,46990
2011,24510,619493,500393,50764,38721
2011,25001,215769,185334,9502,56699
2011,25003,130458,108900,6351,42969
2011,25005,548922,444768,30786,53409
