Year,GEOID,Inflow_Household,Inflow_Individual,Inflow_AGI,Outflow_Household,Outflow_Individual,Outflow_AGI
2011,28003,662,1639,21504,728,1941,24328
2011,28005,333,728,10502,351,784,10670
2011,28007,389,845,12504,385,847,11845
2011,28009,265,606,7037,258,610,6803
2011,28011,741,1575,24347,781,1570,30911
2011,28013,243,597,7305,230,507,6190
2011,28015,311,700,11112,296,674,9155
2011,28017,388,879,10158,405,935,10944
2011,28019,211,481,6649,206,479,5546
2011,28021,249,528,5722,454,1004,9857
2011,28023,409,830,13332,608,1338,18734
2011,28025,480,993,14186,493,990,14410
2011,28027,517,1017,11473,618,1339,16956
2011,28029,572,1240,17448,734,1480,21608
2011,28031,481,1074,13525,526,1210,18483
2011,28033,5269,11566,199634,4781,10258,187436
2011,28035,2858,5781,92135,3303,6543,101880
2011,28037,145,338,4735,171,415,5804
2011,28039,533,1288,19056,493,1108,16547
2011,28041,279,686,10222,237,515,7441
2011,28043,516,1103,16218,517,1134,15754
2011,28045,1360,2766,52669,1195,2412,42351
2011,28047,7383,14672,250126,7135,14297,236045
2011,28049,6374,11584,189976,7277,13674,238277
2011,28051,502,1102,11998,464,1015,11434
2011,28053,239,461,5716,271,518,6266
2011,28055,49,112,1743,22,54,524
2011,28057,555,1244,17002,566,1257,16462
2011,28059,3677,7784,136847,4133,8782,156027
2011,28061,416,882,12713,496,1089,10724
2011,28063,227,505,5160,188,430,4227
2011,28065,429,912,11899,326,698,9374
2011,28067,1623,3657,46949,1394,3055,41210
2011,28069,273,587,8262,146,306,5110
2011,28071,1606,3036,69158,1401,2575,59445
2011,28073,2599,5434,102858,2334,4857,89365
2011,28075,1752,3675,64073,1679,3382,66953
2011,28077,278,583,7991,431,957,14986
2011,28079,466,1048,12987,524,1202,16640
2011,28081,2201,4729,76242,2183,4693,76663
2011,28083,658,1358,18471,796,1621,22044
2011,28085,642,1419,22602,617,1329,22048
2011,28087,1588,3212,57429,1626,3321,70658
2011,28089,3593,7307,178850,3277,6369,153292
2011,28091,463,1033,16800,599,1330,17999
2011,28093,1020,2109,29130,1118,2433,32041
2011,28095,822,1663,23124,901,1888,25915
2011,28097,279,617,9048,277,570,7700
2011,28099,486,1116,16610,622,1358,19563
2011,28101,426,958,13064,452,1034,14930
2011,28103,290,574,5561,280,539,5885
2011,28105,1330,2419,42878,1441,2579,48260
2011,28107,781,1642,21300,751,1612,24951
2011,28109,1178,2517,39303,1247,2730,43866
2011,28111,272,610,7749,425,984,14632
2011,28113,877,1823,26372,963,2015,30991
2011,28115,976,2441,30868,736,1998,22529
2011,28117,455,998,11313,489,1075,13356
2011,28119,198,433,4524,229,509,4976
2011,28121,4265,8300,164661,3979,7983,164054
2011,28123,593,1441,16449,618,1422,17165
2011,28125,97,199,2777,154,336,4630
2011,28127,709,1492,21534,664,1393,22054
2011,28129,399,969,14448,388,878,12646
2011,28131,531,1156,17527,469,1070,15113
2011,28133,534,1123,12937,751,1651,21195
2011,28135,373,862,10276,342,729,8393
2011,28137,693,1508,22943,771,1648,24921
2011,28139,460,1208,13733,433,1169,12047
2011,28141,386,924,12103,347,792,10578
2011,28143,416,889,9069,454,985,11045
2011,28145,748,1765,22386,738,2024,21863
2011,28147,306,703,9355,380,820,11414
2011,28149,1128,2270,38316,1214,2564,44158
2011,28151,885,1883,24454,1101,2377,33793
2011,28153,380,877,12873,383,867,11209
2011,28155,244,551,7309,271,634,8701
2011,28157,153,328,4696,222,455,5824
2011,28159,377,791,11515,454,976,12682
2011,28161,342,721,9407,455,1018,14437
2011,28163,459,951,13240,627,1368,17301
2011,29001,562,1038,20512,632,1180,18288
2011,29003,663,1441,30523,720,1386,28248
2011,29005,108,195,3409,127,239,4514
2011,29007,504,1029,15955,536,1072,17308
2011,29009,1188,2586,47809,1152,2446,37694
2011,29011,254,566,8375,356,725,10387
2011,29013,381,761,11865,451,970,14482
2011,29015,547,1136,17622,490,934,13780
2011,29017,298,642,8357,277,594,8853
2011,29019,4334,7601,177916,4747,8177,181881
2011,29021,2234,4270,73250,2130,4229,79666
2011,29023,913,1827,26823,918,1903,27657
2011,29025,277,645,10020,263,567,7842
2011,29027,1198,2293,38703,1165,2193,37912
2011,29029,1600,3122,77565,1375,2606,73204
2011,29031,1824,3501,70269,2105,3996,76512
2011,29033,178,367,6570,177,351,6174
2011,29035,144,306,3711,174,387,4878
2011,29037,2993,6050,136716,2740,5411,122506
2011,29039,361,824,12083,437,913,12014
2011,29041,166,387,5971,158,312,4752
2011,29043,2970,6163,122897,2752,5734,120580
2011,29045,116,223,3406,149,290,4611
2011,29047,7794,14506,328172,7312,13871,331466
2011,29049,783,1653,31095,815,1646,30180
2011,29051,1881,3468,64814,2018,3823,72880
2011,29053,437,897,14216,493,941,15812
2011,29055,642,1342,19322,596,1210,16264
2011,29057,199,438,6582,192,399,5263
2011,29059,463,1015,13788,541,1193,14067
2011,29061,208,460,6609,267,661,8551
2011,29063,369,756,12378,371,751,11381
2011,29065,373,836,10904,308,663,8134
2011,29067,309,674,11420,319,693,7936
2011,29069,621,1366,14713,666,1418,20529
2011,29071,1935,3874,79180,2262,4339,92136
2011,29073,365,750,12625,422,827,12071
2011,29075,151,330,2373,165,340,5285
2011,29077,7716,14599,271788,7580,14505,270744
2011,29079,241,559,7417,212,415,7335
2011,29081,163,334,5000,191,396,6035
2011,29083,612,1264,17405,638,1289,20443
2011,29085,263,523,7614,282,589,7400
2011,29087,80,161,2518,158,281,4539
2011,29089,264,521,8285,243,501,7630
2011,29091,717,1639,22201,880,1850,27221
2011,29093,361,786,11412,295,610,8588
2011,29095,16176,28521,647423,17246,31516,773450
2011,29097,3241,6577,110741,3276,6786,120618
2011,29099,5033,9592,194019,4987,9296,195295
2011,29101,1910,3986,66830,2142,4259,77741
2011,29103,93,172,2241,88,166,2261
2011,29105,798,1774,24150,894,1908,27908
2011,29107,790,1625,26972,905,1881,33923
2011,29109,1201,2677,37344,1211,2596,36338
2011,29111,197,383,6395,253,480,6602
2011,29113,1372,2755,49639,1277,2588,44515
2011,29115,247,500,7136,309,619,9939
2011,29117,302,588,9227,357,716,11001
2011,29119,803,1975,23389,668,1517,18282
2011,29121,323,721,12078,350,727,10738
2011,29123,314,706,10263,348,746,10959
2011,29125,243,492,7214,250,511,7217
2011,29127,712,1372,25156,727,1437,23983
2011,29129,79,183,2546,84,168,2344
2011,29131,736,1526,26320,620,1265,15977
2011,29133,267,528,6988,285,604,7948
2011,29135,355,737,10874,350,709,10944
2011,29137,215,419,7896,251,535,8343
2011,29139,274,569,8221,317,655,9455
2011,29141,580,1200,19275,666,1288,21024
2011,29143,491,1079,16973,519,1121,16626
2011,29145,2012,4303,77020,2087,4513,74286
2011,29147,428,731,13444,537,933,18606
2011,29149,231,524,6322,263,571,7020
2011,29151,255,505,8833,261,509,7725
2011,29153,227,459,7543,232,491,5897
2011,29155,411,893,10788,418,945,12850
2011,29157,512,1029,17436,346,666,10559
2011,29159,978,2158,31431,1098,2321,36891
2011,29161,1073,2156,35981,1320,2534,43910
2011,29163,338,658,10786,340,682,10268
2011,29165,4272,8070,208737,4323,7846,267577
2011,29167,951,2091,28262,860,1774,32901
2011,29169,2586,6517,91642,3028,7636,124255
2011,29171,106,235,3224,115,254,2999
2011,29173,354,698,12151,311,644,12906
2011,29175,561,1120,17453,577,1174,17205
2011,29177,604,1286,20252,645,1327,27917
2011,29179,131,281,3498,140,303,3091
2011,29181,314,661,8772,304,690,8232
2011,29183,9200,17531,480729,8331,15835,424860
2011,29185,313,669,9053,248,520,6327
2011,29186,406,816,15365,547,1146,19927
2011,29187,1372,2780,42486,1459,2978,46423
2011,29189,24224,45001,1162516,25163,46206,1413749
2011,29195,477,1000,14965,507,1011,15480
2011,29197,83,206,2449,99,190,2678
