GEOID,FarP,RucaRural,RucaSuburban,RucaUrban,CdcRurality
17125,0.0,5,1,0,6
17127,0.0,4,0,0,5
17129,0.0,0,3,0,4
17131,0.0,2,2,0,3
17133,0.0,0,4,2,2
17135,0.0,7,1,0,6
17137,0.0,3,7,0,5
17139,0.0,2,2,0,6
17141,0.0,4,7,0,5
17143,0.0,0,5,43,3
17145,0.0,6,0,0,6
17147,0.0,1,3,0,4
17149,53.333333333333336,5,0,0,6
17151,0.0,2,0,0,6
17153,0.0,2,0,0,6
17155,0.0,2,0,0,5
17157,0.0,9,0,0,6
17159,75.0,5,0,0,6
17161,0.0,0,2,38,3
17163,0.0,0,5,55,2
17165,0.0,9,0,0,6
17167,0.0,0,5,48,4
17169,50.0,3,0,0,6
17171,0.0,2,0,0,5
17173,0.0,4,2,0,6
17175,0.0,0,2,0,3
17177,0.0,6,7,0,5
17179,0.0,1,4,25,3
17181,0.0,4,1,0,6
17183,0.0,1,6,17,4
17185,0.0,4,0,0,6
17187,12.5,5,0,0,6
17189,0.0,3,1,0,6
17191,40.0,5,0,0,6
17193,0.0,5,0,0,6
17195,0.0,8,10,0,5
17197,0.0,1,11,140,2
17199,0.0,0,3,12,4
17201,0.0,0,2,75,3
17203,0.0,3,5,1,3
18001,0.0,5,2,0,5
18003,0.0,0,9,87,3
18005,0.0,0,5,10,4
18007,0.0,2,1,0,4
18009,0.0,4,0,0,6
18011,0.0,0,6,4,2
18013,0.0,1,3,0,2
18015,0.0,2,5,0,4
18017,0.0,5,6,0,5
18019,0.0,0,6,20,2
18021,0.0,0,4,2,4
18023,0.0,3,5,0,5
18025,0.0,2,1,0,6
18027,0.0,4,3,0,5
18029,0.0,1,7,2,2
18031,0.0,3,3,0,5
18033,0.0,2,7,0,5
18035,0.0,0,3,27,4
18037,7.6923076923076925,4,3,0,5
18039,0.0,3,3,30,4
18041,0.0,3,4,0,5
18043,0.0,0,2,18,2
18045,0.0,4,1,0,6
18047,0.0,4,1,0,6
18049,0.0,6,0,0,6
18051,0.0,4,3,0,6
18053,0.0,4,12,0,5
18055,0.0,5,4,0,6
18057,0.0,0,0,39,2
18059,0.0,0,2,8,2
18061,0.0,2,4,0,2
18063,0.0,0,3,18,2
18065,0.0,3,10,0,5
18067,0.0,0,3,17,4
18069,0.0,3,6,0,5
18071,0.0,4,6,0,5
18073,0.0,3,5,0,2
18075,0.0,7,0,0,6
18077,0.0,2,5,0,5
18079,0.0,2,4,0,5
18081,0.0,0,1,21,2
18083,0.0,4,6,0,5
18085,0.0,13,6,0,5
18087,0.0,8,0,0,6
18089,0.0,1,3,114,2
18091,0.0,1,7,21,4
18093,0.0,4,6,0,5
18095,0.0,3,6,28,2
18097,0.0,0,0,224,1
18099,0.0,9,3,0,5
18101,0.0,3,0,0,6
18103,0.0,3,7,0,5
18105,0.0,0,6,25,4
18107,0.0,4,5,0,5
18109,0.0,0,8,5,2
18111,0.0,2,2,0,2
18113,0.0,7,3,0,5
18115,0.0,1,1,0,2
18117,0.0,5,1,0,6
18119,0.0,2,3,0,4
18121,0.0,2,2,0,6
18123,0.0,5,0,0,6
18125,0.0,4,0,0,5
18127,0.0,2,5,26,2
18129,0.0,4,3,0,3
18131,0.0,4,0,0,6
18133,0.0,2,5,0,2
18135,0.0,6,1,1,6
18137,0.0,5,1,0,6
18139,0.0,4,1,0,6
18141,0.0,1,5,69,3
18143,0.0,2,3,0,2
18145,0.0,2,8,0,2
18147,0.0,3,2,0,6
18149,0.0,7,0,0,6
18151,0.0,6,3,0,5
18153,0.0,3,2,0,4
18155,0.0,3,0,0,6
18157,0.0,0,3,34,4
18159,0.0,2,2,0,6
18161,0.0,2,0,0,2
18163,0.0,0,2,47,3
18165,0.0,1,4,0,4
18167,0.0,0,3,25,4
18169,0.0,5,3,0,5
18171,0.0,2,0,0,6
18173,0.0,0,4,7,3
18175,0.0,4,2,0,2
18177,0.0,7,10,0,5
18179,0.0,5,2,0,3
18181,0.0,5,3,0,6
18183,0.0,3,4,0,3
19001,7.142857142857143,3,0,0,6
19003,50.0,2,0,0,6
19005,30.0,5,0,0,6
19007,100.0,5,0,0,6
19009,36.36363636363637,3,0,0,6
19011,0.0,3,4,0,3
19013,0.0,0,3,35,4
19015,0.0,2,5,0,5
19017,0.0,6,2,0,4
19019,0.0,5,1,0,6
19021,85.71428571428571,4,2,0,5
19023,0.0,3,2,0,6
19025,84.61538461538461,4,0,0,6
19027,71.42857142857143,6,0,0,6
19029,0.0,5,0,0,6
19031,0.0,3,2,0,6
19033,81.25,5,6,0,5
19035,12.5,4,0,0,6
19037,10.0,4,0,0,6
19039,0.0,2,1,0,6
19041,100.0,2,2,0,5
19043,37.5,6,0,0,6
19045,0.0,4,8,0,5
19047,44.44444444444444,5,0,0,6
19049,0.0,2,7,6,3
19051,100.0,2,0,0,5
19053,12.5,3,0,0,6
19055,0.0,4,0,0,6
19057,50.0,3,8,0,5
19059,100.0,1,4,0,5
19061,0.0,2,5,19,4
19063,100.0,4,0,0,6
19065,27.272727272727273,7,0,0,6
19067,0.0,5,0,0,6
19069,21.428571428571427,3,0,0,6
19071,0.0,2,1,0,6
19073,0.0,4,0,0,6
19075,0.0,2,2,0,4
19077,5.882352941176471,2,1,0,3
19079,0.0,4,1,0,6
19081,92.85714285714286,4,0,0,6
19083,0.0,6,0,0,6
19085,0.0,1,4,0,3
19087,25.0,5,0,0,6
19089,9.090909090909092,3,0,0,6
19091,94.11764705882354,4,0,0,6
19093,25.0,3,0,0,6
19095,0.0,3,1,0,6
19097,0.0,5,1,0,6
19099,0.0,3,6,0,5
19101,57.142857142857146,2,2,0,5
19103,0.0,0,3,21,4
19105,0.0,3,2,0,3
19107,33.333333333333336,4,0,0,6
19109,100.0,6,0,0,6
19111,90.9090909090909,4,7,0,5
19113,0.0,0,5,40,3
19115,7.142857142857143,3,0,0,6
19117,25.0,4,0,0,6
19119,7.6923076923076925,3,0,0,6
19121,0.0,0,3,0,3
19123,23.529411764705884,3,4,0,5
19125,0.0,7,1,0,6
19127,0.0,4,6,0,5
19129,0.0,0,5,0,3
19131,8.333333333333334,3,0,0,6
19133,0.0,4,0,0,6
19135,42.857142857142854,3,0,0,6
19137,11.11111111111111,4,0,0,6
19139,0.0,2,8,0,5
19141,46.666666666666664,4,0,0,6
19143,66.66666666666667,2,0,0,6
19145,60.0,6,0,0,6
19147,100.0,4,0,0,6
19149,0.0,4,2,0,4
19151,100.0,3,0,0,6
19153,0.0,1,3,94,3
19155,0.0,2,5,23,3
19157,0.0,5,0,0,6
19159,100.0,2,0,0,6
19161,86.66666666666667,4,0,0,6
19163,0.0,0,5,42,3
19165,10.526315789473685,4,0,0,6
19167,5.882352941176471,7,0,0,6
19169,0.0,0,6,14,4
19171,0.0,4,2,0,6
19173,90.9090909090909,3,0,0,6
19175,50.0,4,0,0,6
19177,100.0,2,0,0,6
19179,81.81818181818181,3,8,0,5
19181,0.0,0,9,3,3
19183,0.0,4,1,0,4
19185,72.72727272727273,3,0,0,6
19187,31.818181818181817,4,8,0,5
19189,90.9090909090909,3,0,0,6
19191,54.54545454545455,5,0,0,6
19193,0.0,2,2,22,4
19195,80.0,3,0,0,5
19197,28.571428571428573,5,0,0,6
20001,91.66666666666667,5,0,0,6
20003,33.333333333333336,2,0,0,6
20005,0.0,1,3,0,5
20007,100.0,2,0,0,6
20009,100.0,3,5,0,5
20011,53.84615384615385,5,0,0,6
20013,0.0,3,0,0,6
20015,0.0,1,10,2,3
20017,0.0,1,0,0,6
20019,62.5,1,0,0,6
