Year,GEOID,Total Population,Labor Force,Unemployed,Median Income
2014,18027,32729,24154,576,49620
2014,18029,49506,39627,1954,57860
2014,18031,26524,20898,728,50729
2014,18033,42383,33406,1263,51911
2014,18035,117074,98037,4090,39323
2014,18037,42345,31597,497,50899
2014,18039,201971,150724,4578,49937
2014,18041,22501,17012,530,37140
2014,18043,76179,60307,2650,52819
2014,18047,22934,18031,961,52611
2014,18049,18653,15219,381,43897
2014,18051,33759,26919,554,41356
2014,18053,68569,55619,2458,39851
2014,18055,32726,26472,1391,38021
2014,18057,302623,225340,6224,88155
2014,18059,71978,57109,1707,67485
2014,18061,39299,31904,1506,61162
2014,18063,156056,119723,4109,66989
2014,18065,48995,40217,1836,41009
2014,18067,82982,66303,3459,47159
2014,18069,36706,29718,958,50225
2014,18071,43705,34368,1338,46400
2014,18073,33475,26164,696,52987
2014,18075,21179,16397,929,36530
2014,18077,32494,26648,1598,46007
2014,18079,28000,23025,613,40801
2014,18081,147538,112680,5204,55201
2014,18083,37938,30660,892,46073
2014,18085,78564,61920,2145,53825
2014,18087,38436,27021,781,50989
2014,18089,490228,385384,27277,50852
2014,18091,111444,90186,6127,45744
2014,18093,45704,36548,1801,46237
2014,18095,130069,104930,4239,45134
2014,18097,934243,723334,45051,42557
2014,18099,47107,36314,1956,53786
2014,18103,35954,29072,1300,38969
2014,18105,143339,122495,5495,43657
2014,18107,38146,29843,1069,42202
2014,18109,69693,55191,2212,52891
2014,18113,47618,37018,1792,51176
2014,18119,20969,16736,625,50653
2014,18127,167076,134360,4628,60903
2014,18129,25540,20434,349,57646
2014,18133,37618,31213,603,49272
2014,18135,25384,20241,855,39803
2014,18137,28497,22513,876,56033
2014,18141,267618,209647,10138,46254
2014,18143,19907,15162,616,41246
2014,18145,44579,35571,1330,56140
2014,18147,20801,16974,721,54747
2014,18149,23074,18074,991,43546
2014,18151,34308,28137,715,50439
2014,18153,20302,17009,573,45658
2014,18157,183074,149548,6237,45771
2014,18163,182006,146437,5247,42044
2014,18167,108175,88513,4880,41385
2014,18169,32252,26302,536,42933
2014,18173,61149,47784,1111,65767
2014,18175,27878,22172,846,43645
2014,18177,67671,54215,2777,41204
2014,18179,27862,21927,224,48533
2014,18181,24453,19423,447,51839
2014,18183,33403,26686,557,59915
2014,19011,25680,20278,190,61517
2014,19013,132897,107860,3667,51685
2014,19015,26433,21282,955,52078
2014,19017,24721,19878,948,61897
2014,19019,21038,16186,402,57295
2014,19021,20578,15804,587,51610
2014,19027,20562,16022,185,45497
2014,19033,43254,35816,597,49804
2014,19045,48051,38135,1057,46730
2014,19049,77400,57747,1570,77412
2014,19057,40255,32442,867,42856
2014,19061,96370,76749,1721,56129
2014,19065,20343,16424,474,45565
2014,19087,20217,16164,268,50885
2014,19099,36872,29756,1318,51817
2014,19103,142287,116119,2474,60254
2014,19105,20454,16764,386,51232
2014,19111,35286,28724,1514,43666
2014,19113,217751,171309,4215,62984
2014,19123,22370,17767,877,44710
2014,19125,33365,26084,884,55409
2014,19127,40866,30795,1146,50425
2014,19139,42903,33294,682,54129
2014,19149,24874,19596,386,58694
2014,19153,459862,356510,11499,60978
2014,19155,93128,73645,2503,52239
2014,19163,171387,134632,4710,54679
2014,19167,34681,26030,414,59041
2014,19169,94073,79631,2499,46091
2014,19179,35212,28326,1376,41965
2014,19181,47956,37020,1285,65431
2014,19183,22070,17327,898,57005
2014,19187,36955,30021,905,41496
2014,19191,20768,17370,263,57136
2014,19193,102271,78742,3348,44721
2014,20009,27385,21429,727,45808
2014,20015,66227,51108,1743,58791
2014,20021,20787,16729,263,40720
2014,20035,35963,28527,922,45044
2014,20037,39290,31134,629,38800
2014,20045,116585,96736,4042,48565
2014,20051,29013,23527,535,48562
2014,20055,37184,27132,1375,47247
2014,20057,34795,24746,913,60831
2014,20059,25611,19495,682,51606
2014,20061,36713,25978,1456,39071
2014,20079,34820,27126,162,55266
2014,20091,574272,443440,11883,75679
2014,20099,20960,16432,479,42308
2014,20103,78797,61886,1079,66779
2014,20111,33212,26972,1117,44222
2014,20113,29241,23768,299,58036
2014,20121,32822,25116,812,64154
2014,20125,34065,26771,1376,43229
2014,20149,22897,16846,575,66511
2014,20155,63794,51443,1775,47359
2014,20161,75194,63240,2566,44825
2014,20169,55755,44158,1254,48508
2014,20173,508803,389230,15561,50996
2014,20175,23465,16135,780,45690
2014,20177,178406,139963,4270,53507
2014,20191,23528,18039,419,51317
2014,20209,161636,120308,7315,36637
2014,21003,20384,15904,494,39391
2014,21005,23000,18411,698,52243
2014,21009,43148,34248,1574,36800
2014,21013,27375,22490,574,22202
2014,21015,126413,96122,3976,65736
2014,21019,48832,38967,3241,39798
2014,21021,29706,24168,612,39131
2014,21029,77955,61341,2921,54690
2014,21035,38282,31845,1567,36273
2014,21037,91833,73722,2761,50872
2014,21043,27223,22372,1862,34652
2014,21047,74250,55340,3575,35755
2014,21049,35758,28315,1194,49924
2014,21051,20196,16895,835,28252
2014,21059,98275,77210,2523,41685
2014,21067,310797,251471,11471,47968
2014,21071,38108,30954,1016,28722
2014,21073,49880,40122,2810,50498
2014,21081,24875,18189,103,45453
2014,21083,37618,29997,2220,39130
2014,21085,26194,20410,387,35493
2014,21089,36308,29098,1726,41755
2014,21093,108266,84408,3651,50900
2014,21095,28163,22453,874,24769
2014,21101,46467,36737,1103,41078
2014,21107,46376,37060,981,42615
2014,21111,760026,605244,26902,48210
2014,21113,50815,39750,1966,53278
2014,21115,22893,18601,714,32050
2014,21117,163929,127557,5657,54300
2014,21121,31797,23958,1105,25102
2014,21125,60015,47584,2683,33032
2014,21133,23359,19706,953,25939
2014,21137,24445,18845,1177,35412
2014,21141,26867,21301,865,40125
2014,21145,65316,53082,1533,36712
2014,21151,87340,70854,3887,43973
2014,21155,20101,15629,1289,32917
2014,21157,30953,25675,980,43774
2014,21163,29139,22067,853,54708
2014,21167,21822,16918,878,42356
2014,21173,27474,20303,1187,37411
2014,21177,31207,24703,1436,39925
2014,21179,44812,34950,1691,56822
2014,21183,23977,18727,928,34860
2014,21185,63490,49123,890,93382
2014,21193,27597,21867,1471,31082
2014,21195,63034,51227,2646,31426
2014,21199,63825,51484,3175,31424
2014,21205,23655,20943,53,40245
2014,21209,51284,39263,1393,61460
2014,21211,44875,35413,744,58760
2014,21217,25257,20891,642,28733
2014,21227,120460,95497,4909,50752
2014,21231,20486,17523,884,32014
2014,21235,35503,27550,2196,32103
2014,21239,25563,20942,553,55295
2014,22001,62486,47506,2919,39201
2014,22003,25713,20707,913,36430
2014,22005,117029,87702,3623,66576
2014,22007,23034,17898,585,47059
2014,22009,41145,32232,1152,34232
2014,22011,36198,28226,758,39366
2014,22015,125064,96768,4223,50704
2014,22017,252603,197389,8401,39315
2014,22019,197204,153879,6700,45742
2014,22029,20466,14885,654,30662
2014,22031,27142,21392,212,40927
2014,22033,446042,355444,15095,46778
2014,22039,33700,25960,2049,30928
2014,22041,20408,15912,800,32783
2014,22043,22384,18347,693,38722
2014,22045,73913,56990,2990,46290
2014,22047,33327,26962,263,59898
2014,22051,435716,350726,12815,46961
2014,22053,31477,24009,1670,33995
2014,22055,235644,185266,6258,51060
2014,22057,98020,76693,3422,41842
2014,22061,47617,39174,3472,31270
2014,22063,135751,102004,3433,60466
2014,22067,26760,20744,820,30218
2014,22069,39166,30712,2630,30076
2014,22071,384320,313650,19814,35504
2014,22073,156325,120561,5126,41139
2014,22075,23447,18477,237,48548
2014,22077,22406,18148,772,50672
2014,22079,132488,103030,4811,40434
2014,22083,21412,16223,619,41575
2014,22085,24199,18949,874,37111
2014,22087,44409,33155,2682,48733
2014,22089,52745,42110,1757,66096
2014,22093,21638,17427,782,49954
2014,22095,43745,34258,1639,47388
2014,22097,83709,62569,1939,27753
2014,22099,53315,41977,1166,49512
2014,22101,53162,41535,1817,44308
2014,22103,245829,192358,7897,63210
2014,22105,127049,99214,6148,40689
2014,22109,113328,87352,3569,46678
2014,22111,22539,17682,711,41587
2014,22113,59616,45849,1898,47510
