Year,GEOID,Inflow_Household,Inflow_Individual,Inflow_AGI,Outflow_Household,Outflow_Individual,Outflow_AGI,Total Population (ACS1),Labor Force (ACS1),Unemployed (ACS1),Median Income (ACS1),Total Population (ACS5),Labor Force (ACS5),Unemployed (ACS5),Median Income (ACS5),Total Population (ACSSE),Labor Force (ACSSE),Unemployed (ACSSE),Median Income (ACSSE),FarP,RucaRural,RucaSuburban,RucaUrban,CdcRurality
2011,01013,397,828,12813,478,957,13590,,,,,20860.0,16414.0,1110.0,31273.0,,,,,0.0,7.0,2.0,0.0,6.0
2012,01013,368,796,12162,419,863,13615,,,,,20730.0,16282.0,1249.0,30752.0,,,,,0.0,7.0,2.0,0.0,6.0
2013,01013,299,691,9966,344,753,13247,,,,,20624.0,16242.0,1323.0,29918.0,,,,,0.0,7.0,2.0,0.0,6.0
2014,01013,258,556,11171,306,635,10407,,,,,20523.0,16266.0,1075.0,31571.0,20428.0,16169.0,721.0,32027.0,0.0,7.0,2.0,0.0,6.0
2015,01013,272,545,8399,345,749,13415,,,,,20354.0,16215.0,957.0,32229.0,19021.0,14960.0,585.0,33657.0,0.0,7.0,2.0,0.0,6.0
2016,01013,334,754,12418,396,844,16401,,,,,20280.0,16103.0,849.0,34315.0,19615.0,14782.0,584.0,40012.0,0.0,7.0,2.0,0.0,6.0
2017,01013,287,625,11470,341,708,11655,,,,,20126.0,16078.0,640.0,36326.0,,,,,0.0,7.0,2.0,0.0,6.0
2018,01013,271,593,9151,320,666,12528,,,,,20025.0,15970.0,567.0,39109.0,21150.0,16554.0,363.0,39839.0,0.0,7.0,2.0,0.0,6.0
2019,01013,285,597,10572,299,599,12715,,,,,19828.0,15853.0,579.0,40688.0,20239.0,16016.0,873.0,40907.0,0.0,7.0,2.0,0.0,6.0
2020,01013,333,654,13058,328,624,11622,,,,,19726.0,15764.0,551.0,44850.0,,,,,0.0,7.0,2.0,0.0,6.0
2011,01015,2201,4552,74436,2660,5639,94350,117797.0,93539.0,7010.0,39037.0,117614.0,93711.0,6509.0,39467.0,,,,,0.0,1.0,9.0,21.0,4.0
2012,01015,2247,4827,79819,2490,5164,96412,117296.0,93505.0,8391.0,39169.0,117834.0,93980.0,7151.0,40093.0,,,,,0.0,1.0,9.0,21.0,4.0
