Year,GEOID,Inflow_Household,Inflow_Individual,Inflow_AGI,Outflow_Household,Outflow_Individual,Outflow_AGI,Total Population (ACS1),Labor Force (ACS1),Unemployed (ACS1),Median Income (ACS1),Total Population (ACS5),Labor Force (ACS5),Unemployed (ACS5),Median Income (ACS5),Total Population (ACSSE),Labor Force (ACSSE),Unemployed (ACSSE),Median Income (ACSSE),FarP,RucaRural,RucaSuburban,RucaUrban,CdcRurality
2019,27141,3987,7793,235691,3597,6741,229962,97238,74957,1359,96210,94463,72540.0,1520.0,89250.0,97238,74957.0,1359.0,96210.0,0.0,0.0,7.0,4.0,2.0
2014,27145,2906,4970,114164,3359,5543,145486,152912,122324,5085,56040,151728,120610.0,5488.0,55455.0,152912,122324.0,5085.0,56040.0,0.0,6.0,7.0,16.0,4.0
2015,27145,4097,7207,173040,4555,7801,210665,154708,123414,3457,55030,152595,121430.0,4439.0,56336.0,154708,123414.0,3457.0,55030.0,0.0,6.0,7.0,16.0,4.0
2016,27145,5629,10361,261595,5986,10609,298378,155652,124212,4110,57728,153661,122376.0,4212.0,56977.0,155652,124212.0,4110.0,57728.0,0.0,6.0,7.0,16.0,4.0
2017,27145,4236,7520,208793,4584,7788,222418,157822,124869,4161,63271,155300,123512.0,4046.0,59564.0,157822,124869.0,4161.0,63271.0,0.0,6.0,7.0,16.0,4.0
2018,27145,4232,7401,183526,4570,7744,225093,159256,126432,4434,60669,156819,124725.0,4164.0,60606.0,159256,126432.0,4434.0,60669.0,0.0,6.0,7.0,16.0,4.0
2019,27145,4584,8335,238423,4759,8326,258668,161075,127931,3666,66558,158452,125869.0,4049.0,62789.0,161075,127931.0,3666.0,66558.0,0.0,6.0,7.0,16.0,4.0
2014,27163,5257,9539,419530,5450,9076,351269,249283,194236,7584,83545,244103,188788.0,7525.0,83182.0,249283,194236.0,7584.0,83545.0,0.0,0.0,9.0,41.0,2.0
2015,27163,8222,15519,575591,8190,14306,584977,251597,197124,4161,87995,246670,191383.0,6627.0,83706.0,251597,197124.0,4161.0,87995.0,0.0,0.0,9.0,41.0,2.0
2016,27163,12430,24286,919304,11028,19733,802347,253117,197342,2687,90256,248745,193624.0,5460.0,86689.0,253117,197342.0,2687.0,90256.0,0.0,0.0,9.0,41.0,2.0
2017,27163,9116,16971,652298,8336,14530,641259,256348,200426,3626,91866,250979,195831.0,4884.0,89598.0,256348,200426.0,3626.0,91866.0,0.0,0.0,9.0,41.0,2.0
2018,27163,9299,17155,684595,8172,14108,612716,259201,203198,2675,95124,253317,197944.0,4288.0,92376.0,259201,203198.0,2675.0,95124.0,0.0,0.0,9.0,41.0,2.0
2019,27163,10091,19125,869455,8950,15883,715890,262440,205583,3626,100596,255938,200390.0,3461.0,96671.0,262440,205583.0,3626.0,100596.0,0.0,0.0,9.0,41.0,2.0
2014,27171,2344,4351,122831,2412,4399,136676,129918,95908,2327,77442,127386,93690.0,3973.0,73085.0,129918,95908.0,2327.0,77442.0,0.0,4.0,10.0,3.0,2.0
2015,27171,3772,7481,235410,3565,6664,215503,131311,97988,3123,76306,128691,95014.0,3688.0,73557.0,131311,97988.0,3123.0,76306.0,0.0,4.0,10.0,3.0,2.0
2016,27171,5782,11588,361814,4833,9477,306802,132550,99757,2438,74190,129922,96534.0,3196.0,75705.0,132550,99757.0,2438.0,74190.0,0.0,4.0,10.0,3.0,2.0
2017,27171,4186,8190,266613,3659,6806,220933,134286,100773,2863,79931,131130,97719.0,2623.0,77953.0,134286,100773.0,2863.0,79931.0,0.0,4.0,10.0,3.0,2.0
